"","episode","airdate","viewers_millions","7day_viewers","28day_viewers","BBC_iplayer_requests","season"
"1",1,"16 August 2011 (2011-08-16)",3.1,NA,NA,NA,"2"
"2",2,"23 August 2011 (2011-08-23)",3.53,NA,NA,NA,"2"
"3",3,"30 August 2011 (2011-08-30)",3.82,NA,NA,NA,"2"
"4",4,"6 September 2011 (2011-09-06)",3.6,NA,NA,NA,"2"
"5",5,"13 September 2011 (2011-09-13)",3.83,NA,NA,NA,"2"
"6",6,"20 September 2011 (2011-09-20)",4.25,NA,NA,NA,"2"
"7",7,"27 September 2011 (2011-09-27)",4.42,NA,NA,NA,"2"
"8",8,"4 October 2011 (2011-10-04)",5.06,NA,NA,NA,"2"
"9",1,"14 August 2012 (2012-08-14)",3.85,NA,NA,NA,"3"
"10",2,"21 August 2012 (2012-08-21)",4.6,NA,NA,NA,"3"
"11",3,"28 August 2012 (2012-08-28)",4.53,NA,NA,NA,"3"
"12",4,"4 September 2012 (2012-09-04)",4.71,NA,NA,NA,"3"
"13",5,"11 September 2012 (2012-09-11)",4.61,NA,NA,NA,"3"
"14",6,"18 September 2012 (2012-09-18)",4.82,NA,NA,NA,"3"
"15",7,"25 September 2012 (2012-09-25)",5.1,NA,NA,NA,"3"
"16",8,"2 October 2012 (2012-10-02)",5.35,NA,NA,NA,"3"
"17",9,"9 October 2012 (2012-10-09)",5.7,NA,NA,NA,"3"
"18",10,"16 October 2012 (2012-10-16)",6.74,NA,NA,NA,"3"
"19",1,"20 August 2013 (2013-08-20)",6.6,NA,NA,NA,"4"
"20",2,"27 August 2013 (2013-08-27)",6.65,NA,NA,NA,"4"
"21",3,"3 September 2013 (2013-09-03)",7.17,NA,NA,NA,"4"
"22",4,"10 September 2013 (2013-09-10)",6.82,NA,NA,NA,"4"
"23",5,"17 September 2013 (2013-09-17)",6.95,NA,NA,NA,"4"
"24",6,"24 September 2013 (2013-09-24)",7.32,NA,NA,NA,"4"
"25",7,"1 October 2013 (2013-10-01)",7.76,NA,NA,NA,"4"
"26",8,"8 October 2013 (2013-10-08)",7.41,NA,NA,NA,"4"
"27",9,"15 October 2013 (2013-10-15)",7.41,NA,NA,NA,"4"
"28",10,"22 October 2013 (2013-10-22)",9.45,NA,NA,NA,"4"
"29",1,"6 August 2014 (2014-08-06)",8.51,NA,NA,NA,"5"
"30",2,"13 August 2014 (2014-08-13)",8.79,NA,NA,NA,"5"
"31",3,"20 August 2014 (2014-08-20)",9.28,NA,NA,NA,"5"
"32",4,"27 August 2014 (2014-08-27)",10.25,NA,NA,NA,"5"
"33",5,"3 September 2014 (2014-09-03)",9.95,NA,NA,NA,"5"
"34",6,"10 September 2014 (2014-09-10)",10.13,NA,NA,NA,"5"
"35",7,"17 September 2014 (2014-09-17)",10.28,NA,NA,NA,"5"
"36",8,"24 September 2014 (2014-09-24)",9.023,NA,NA,NA,"5"
"37",9,"1 October 2014 (2014-10-01)",10.67,NA,NA,NA,"5"
"38",10,"8 October 2014 (2014-10-08)",13.51,NA,NA,NA,"5"
"39",1,"5 August 2015 (2015-08-05)",NA,11.62,"11.73","2,063,000[53]","6"
"40",2,"12 August 2015 (2015-08-12)",NA,11.59,"11.84","1,977,000[53]","6"
"41",3,"19 August 2015 (2015-08-19)",NA,12.01,"N/A","1,760,000[53]","6"
"42",4,"26 August 2015 (2015-08-26)",NA,12.36,"12.67","1,539,000[53]","6"
"43",5,"2 September 2015 (2015-09-02)",NA,12.39,"12.63","1,930,000[54]","6"
"44",6,"9 September 2015 (2015-09-09)",NA,12,"12.26","1,869,000[54]","6"
"45",7,"16 September 2015 (2015-09-16)",NA,12.35,"12.58","1,841,000[54]","6"
"46",8,"23 September 2015 (2015-09-23)",NA,11.09,"11.35","1,748,000[54]","6"
"47",9,"30 September 2015 (2015-09-30)",NA,12.65,"12.78","1,370,000[54]","6"
"48",10,"7 October 2015 (2015-10-07)",NA,15.05,"15.16","1,619,000[54]","6"
"49",1,"24 August 2016 (2016-08-24)",NA,13.58,"13.86","1,989,000[53]","7"
"50",2,"31 August 2016 (2016-08-31)",NA,13.45,"13.74","1,949,000[53]","7"
"51",3,"7 September 2016 (2016-09-07)",NA,13.01,"13.38","2,314,000[53]","7"
"52",4,"14 September 2016 (2016-09-14)",NA,13.29,"13.88","2,291,000[53]","7"
"53",5,"21 September 2016 (2016-09-21)",NA,13.12,"13.33","1,984,000[53]","7"
"54",6,"28 September 2016 (2016-09-28)",NA,13.13,"13.41","1,397,000[53]","7"
"55",7,"5 October 2016 (2016-10-05)",NA,13.45,"13.72","2,154,000[53]","7"
"56",8,"12 October 2016 (2016-10-12)",NA,13.26,"13.45","1,957,000[53]","7"
"57",9,"19 October 2016 (2016-10-19)",NA,13.44,"13.65","1,901,000[53]","7"
"58",10,"26 October 2016 (2016-10-26)",NA,15.9,"16.03","1,602,000[53]","7"
"59",1,"29 August 2017 (2017-08-29)",NA,9.46,"9.72",NA,"8"
"60",2,"5 September 2017 (2017-09-05)",NA,9.23,"9.53",NA,"8"
"61",3,"12 September 2017 (2017-09-12)",NA,8.68,"9.06",NA,"8"
"62",4,"19 September 2017 (2017-09-19)",NA,8.55,"8.87",NA,"8"
"63",5,"26 September 2017 (2017-09-26)",NA,8.61,"8.98",NA,"8"
"64",6,"3 October 2017 (2017-10-03)",NA,8.61,"8.91",NA,"8"
"65",7,"10 October 2017 (2017-10-10)",NA,9.01,"9.32",NA,"8"
"66",8,"17 October 2017 (2017-10-17)",NA,8.95,"9.19",NA,"8"
"67",9,"24 October 2017 (2017-10-24)",NA,9.03,"9.16",NA,"8"
"68",10,"31 October 2017 (2017-10-31)",NA,10.04,"10.13",NA,"8"
"69",1,"28 August 2018 (2018-08-28)",NA,9.55,"9.92",NA,"9"
"70",2,"4 September 2018 (2018-09-04)",NA,9.31,"9.76",NA,"9"
"71",3,"11 September 2018 (2018-09-11)",NA,8.91,"9.35",NA,"9"
"72",4,"18 September 2018 (2018-09-18)",NA,8.88,"9.41",NA,"9"
"73",5,"25 September 2018 (2018-09-25)",NA,8.67,"9.15",NA,"9"
"74",6,"2 October 2018 (2018-10-02)",NA,8.91,"9.3",NA,"9"
"75",7,"9 October 2018 (2018-10-09)",NA,9.22,"9.54",NA,"9"
"76",8,"16 October 2018 (2018-10-16)",NA,9.69,"9.93",NA,"9"
"77",9,"23 October 2018 (2018-10-23)",NA,9.5,"9.7",NA,"9"
"78",10,"30 October 2018 (2018-10-30)",NA,10.34,"10.54",NA,"9"
"79",1,"27 August 2019 (2019-08-27)",NA,9.62,"10.03",NA,"10"
"80",2,"3 September 2019 (2019-09-03)",NA,9.38,"9.8",NA,"10"
"81",3,"10 September 2019 (2019-09-10)",NA,8.94,"9.42",NA,"10"
"82",4,"17 September 2019 (2019-09-17)",NA,8.96,"9.49",NA,"10"
"83",5,"24 September 2019 (2019-09-24)",NA,9.26,"9.64",NA,"10"
