"","baker.season.episode","X","baker","signature","technical.rank","showstopper","episode","signatuare.name","technical.name","showstopper.name","season","result","status"
"1","Ali_4_1",137,"Ali","Rose and Pistachio Cake","11th","Chocolate, Raspberry and Passion Fruit Engagement Cake",1,"Sandwich Cake ","Angel Food Cake ","Chocolate Cake ",4,"","Least Favorite"
"2","Ali_4_2",150,"Ali","Italian Grissini","9th","Sweet and Savoury Yin Yang Bread",2,"36 Bread Sticks ","8 English Muffins ","Decorative Loaf ",4,"",""
"3","Ali_4_3",162,"Ali","Coconut, Raspberry and Lemon Meringue Trifle","5th","Vanilla Latte Mini CakesLime & Mint Shortbread Pops",3,"Trifle ","Floating Islands ","24 Petit Fours  12 Biscuit based  12 Sponge based ",4,"",""
"4","Ali_4_4",173,"Ali","Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry","8th","Orange, Cardamom and Date M'Hanncha",4,"Double Crusted Fruit Pie ","12 Egg Custard Tarts ","Filo Pie ",4,"OUT",""
"5","Alice_10_1",589,"Alice","Gingerbread Fruit Cake Wreath","5th","Like a Child in a Sweetshop Cake",1,"Fruit Cake ","6 Angel Cake Slices ","Birthday Cake ",10,"",""
"6","Alice_10_10",666,"Alice","Chocolate, Pear, Ginger and Maple Cake","2nd","End of the School Year Celebration Picnic",10,"Ultimate Chocolate Cake ","6 Stilton Soufflés ","Illusion Picnic Basket Feast ",10,"Runner-up",""
"7","Alice_10_2",602,"Alice","Honeycomb Peanut Mallow Bars","1st","Chocolate and Coconut New Zealand Lamb",2,"12 Decorated Chocolate Biscuit Bars ","12 Fig Rolls ","3D Biscuit Sculpture ",10,"SB",""
"8","Alice_10_3",614,"Alice","Baklava Tear & Share","7th","Global Bread",3,"Tear   Share Loaf ","8 White Burger Baps   4 Veggie Burgers ","Decorative Loaf Display ",10,"","Least Favorite"
"9","Alice_10_4",625,"Alice","Leafy Yoghurt Cake","8th","Afternoon Tea",4,"Cultured Dairy Cake ","12 Maids of Honour ","Display of Mishti ",10,"",""
"10","Alice_10_5",635,"Alice","Chocolate & Orange Custard Pies","6th","Piña Colada Cake",5,"4 Custard Pies ","18 Beignet Soufflés ","Prohibition Era Cake ",10,"",""
"11","Alice_10_6",644,"Alice","Black Forest Meringue","1st","Tiramisu Bombe",6,"Layered Meringue Cake ","6 Verrines ","Celebratory Bombe ",10,"","Favorite"
"12","Alice_10_7",651,"Alice","Lemon, Blueberry & Almond Hot Cross Buns","6th","Chocolate, Orange and Salted Caramel Kaleidoscope Sarawak Style Layered Cake",7,"24 Festival Buns ","12 Sicilian Cassatelles ","Kek Lapis Sarawak ",10,"",""
